Covidence #,Study ID,Title,Reviewer Name,Authors,Publication date,Journal,Inclusion criteria,Did the study use any of the following approaches (typical signals of a causal question)?,Causal interpretation,Type of study design,Was the size of the inception sample* for the research question of interest available or able to be established?,What was the size of the inception sample*?,"Was there a reduction in participants from the inception sample to the analysis sample due to non-response or missing data in a variable used in the analysis (exposure, outcome, covariates)?",What was the size of the analysis sample*?,Was the percentage of complete cases* available or able to be established?,Percentage of complete cases / upper bound on the percentage of complete cases,What was the exposure?,Were there missing values in the exposure?,Percentage of missing values in the exposure / lower bound on the percentage of missing values in the exposure,What was the outcome?,Were there missing values in the outcome?,Percentage of missing values in the outcome / lower bound on the percentage of missing values in the outcome,Were there missing values in the covariates?,Was a statement provided about what missingness assumptions were made?,Were missingness assumptions justified?,Details of justification for missingness assumptions,Did authors address the potential for data to be MNAR?,Primary method of analysis,Was the primary analysis justified on the basis of missingness assumptions?,Details of justification for primary analysis on the basis of missingness assumptions.,Was a secondary analysis that handles missing data differently used to answer the same causal question?,Was the secondary analysis justified?,"If a delta-adjusted analysis was used, was external information incorporated in the analysis?","If a delta-adjusted analysis was used, provide details of the delta-adjusted analysis",What method was used for multiple imputation?,What software was used for multiple imputation?,Number of imputations used in the multiple imputation procedure,Were all analysis variables included in the imputation model?,Were auxiliary variables included in the imputation model?,Were interactions included in the imputation model?,"If results were obtained using both a CCA and MI, did the authors observe any substantial difference between these?","If results were obtained using both a CCA and MI, AND no substantial difference between these two sets of results was observed, was any interpretation or explanation provided for the similarities between the two sets of results? If so, what was the interpretation or explanation?",Any other comments?
330,White 2021,"Mortality among rough sleepers, squatters, residents of homeless shelters or hotels and sofa-surfers: a pooled analysis of UK birth cohorts",Rheanna Mainzer,White,Dec-21,International Journal of Epidemiology,Study estimated an effect of an exposure on an outcome that was given (at least implicitly) a causal interpretation,Study estimated an effect of an exposure on an outcome using a regression model that was adjusted for a set of covariates,The scope of homelessness should be expanded to also include less severe forms of homelessness.,Individual patient data (IPD) meta-analysis / pooled cohort analysis,Yes,34205,"Yes, missing data in an analysis variable",23678,Yes,81%,Exposure to any form of homelessness,"Yes, but unable to establish the percentage of missing values",NA,All-cause mortality,No,0,"Yes, in 2 or more covariates","Yes, authors invoked (either explicitly or implicitly) the missing at  random assumption",No,NA,"Yes, but only as a study limitation",MI using the full analysis sample,Yes,MI was used to maximise the plausibility of the missing at random assumption,"Yes, unweighted CCA","Yes, as a sensitivity analysis to examine the influence of missing data",NA ,NA,MICE,Other: Either R or Stata (not clear),20,Unclear,Yes,No,No,"No - ""Results were comparable when using the data sets with missing and imputed data, increasing confidence in the findings.""","- Pooled 2 ongoing birth-cohort studies
-Time-to-event analysis
- In limitations: ""We used multiple imputation to maximize the plausibility of the missing at random assumption and restore sample representativeness [...] Bias due to non-ignorable missing data cannot, however, be ruled out.""
- ""The imputation model included all missing exposure and covariate data"" - it is not clear whether exposure and all covariates were included."
328,Wesselink 2021,A Prospective Ultrasound Study of Plasma Polychlorinated Biphenyl Concentrations and Incidence of Uterine Leiomyomata,Rheanna Mainzer,Wesselink,Mar-21,Epidemiology,Study estimated an effect of an exposure on an outcome that was given (at least implicitly) a causal interpretation,Study identified a set of variables that were used to control for confounding; Study estimated an effect of an exposure on an outcome using a regression model that was adjusted for a set of covariates,"These data do not support the hypothesis that seafood intake increases fibroid risk by exposing the consumer to low levels of PCBs, although it remains possible that other environmental contaminants (e.g., mercury) explain this association. Future assessment of how complex chemical mixtures are related to fibroids will further enhance our understanding of the etiology of fibroids.",Case-cohort study,Yes,1308,"Other: No, reduction due to case-cohort study design to maximise cost efficiency",754,Able to establish an upper bound only,94%,Total polychlorinated biphenyls (PCBs): sum of individual lipid-adjusted concentrations.,Unclear,NA,Detection of fibroids >= 0.5cm in diameter (yes/no),Yes,3%,"Yes, in 2 or more covariates",No,No,NA,"Other: As a study limitation: ""In addition, follow-up was high in this cohort. Only 3% of women did not attend any follow-up visits and 90% attended the 60-month follow-up visit. Therefore, differential loss to follow-up is an unlikely source of bias in this analysis.""",MI using the full analysis sample,No,NA,"Yes, weighted CCA (e.g. using IPW)","Other: Yes, as a sensitivity analysis to assess variability in results according to missing data methods",NA ,NA,MICE,Unclear,5,Unclear,Unclear,Unclear,No,"No - ""When we restricted our analysis to women with complete data on exposure, outcome, and covariates, results were nearly identical to the primary analysis""","- Baseline characteristics are presented for first imputation data set, and authors state the findings were similar for imputation data sets 2-5. Baseline characteristics (except age) are standardized to the age distribution of the cohort at baseline.
- Time-to-event analysis
- Unclear how many were lost to follow-up as methods state ""For the 24 (3.1%) women with no follow-up data"" and results state ""42 (5.6%) women were lost to follow-up"".
- PCB concentrations (used to calculate exposure) were imputed when congeners failed to meet CDC quality criteria (range by congener: 0 - 3.5%). Not clear how exposure was calculated.
- Assume >1 covariate was imputed given language used (although this is not entirely clear)"
327,Wesselink 2020,Association Between Male Use of Pain Medication and Fecundability,Rheanna Mainzer,Wesselink,Jun-20,American Journal of Epidemiology,Study estimated an effect of an exposure on an outcome that was given (at least implicitly) a causal interpretation,Study identified a set of variables that were used to control for confounding; Study estimated an effect of an exposure on an outcome using a regression model that was adjusted for a set of covariates,"Given currently available evidence from the literature and our findings, male preconceptional use of common over-the-counter pain medications at low cumulative doses does not appear to be notably associated with reduced fecundity.",Prospective longitudinal study,Other: Unclear how to establish. Participants were invited male partners of females in a preconception cohort. 46% of invited male partners enrolled.,NA,No,1956,Able to establish an upper bound only,71%,"Any pain medication (nonuse, low exposure, moderate exposure, high exposure)",Yes,<1%,Time to pregnancy (number of cycles),Yes,6%,"Yes, in 2 or more covariates","Other: Yes, two questions were added to the questionnaire approximately 2 years after the study began, and thus the data were considered missing completely at random. Not clear whether the MCAR assumption is intended to apply just to those 2 covariates or to all missing data.",Yes,MCAR as questions were added to the questionnaire approximately 2 years after the study began,"No, the possibility that data were MNAR was not addressed",MI using the full analysis sample,No,NA,No,NA,NA ,NA,Unclear,SAS,5,Unclear,Unclear,Unclear,NA,NA,"- Proportional probabilities regression used to estimated fecundability ratios
- 10% lost to follow-up, but pregnancies among females lost to follow-up were identified by linking to birth registries, etc.
- Assumed SAS was used for MI due to reference 54"
323,Wang 2021,Maternal hypertensive disorders and neurodevelopmental disorders in offspring: a population-based cohort in two Nordic countries,Rheanna Mainzer,Wang,May-21,European Journal of Epidemiology,Study estimated an effect of an exposure on an outcome that was given (at least implicitly) a causal interpretation,Study identified a set of variables that were used to control for confounding; Study estimated an effect of an exposure on an outcome using a regression model that was adjusted for a set of covariates,"Our findings suggest that all types of maternal HDP, especially early-onset pre-eclampsia, are associated with increased risks of neurodevelopmental disorders (ADHD, ASD, and ID) in offspring. From a public health perspective, these findings highlight the importance of better management of maternal HDP and earlier screening and detection for neurodevelopmental disorders in their offspring.","Retrospective analysis of routinely collected data (e.g., administrative or EMR data)",Yes,4489727,"Yes, missing data in an analysis variable",4489044,Able to establish an upper bound only,98%,Maternal hypertensive disorders during pregnancy,No,0%,ADHD diagnosis,No,0%,"Yes, in 2 or more covariates",No,No,NA,"No, the possibility that data were MNAR was not addressed","CCA, unweighted",No,NA,"Yes, MI using the full analysis sample","Yes, as a sensitivity analysis (without further justification)",NA ,NA,MICE,Stata,10,Unclear,Unclear,Unclear,No,"No - ""Similar associations were observed in the analyses [...] using the multiple imputation method""","- Time-to-event analysis
- Children were excluded from analysis due to extreme gestational age (n = 583) and missing sex (n = 100). "
322,Wang 2022,Type 2 Diabetes–Prevention Diet and All-Cause and Cause-Specific Mortality: A Prospective Study,Rheanna Mainzer,Wang,Nov-21,American Journal of Epidemiology,Study estimated an effect of an exposure on an outcome that was given (at least implicitly) a causal interpretation,Study identified a set of variables that were used to control for confounding; Study estimated an effect of an exposure on an outcome using a regression model that was adjusted for a set of covariates,"In conclusion, a type 2 diabetes-prevention diet confers reduced risks of death from all causes, cardiovascular disease, and cancer in this US population.",Other: Secondary analysis of trial (prospective longitudinal study),Yes,130013,"Yes, both non-response and missing data in an analysis variable",86633,Able to establish an upper bound only,76%,Dietary diabetes risk-reduction score (quintiles),No,NA,All-cause mortality,No,NA,"Yes, in 2 or more covariates","Yes, authors invoked (either explicitly or implicitly) the missing at  random assumption",No,NA,"No, the possibility that data were MNAR was not addressed",MI using the full analysis sample,Yes,MI was used under the assumption that data were MAR,"Yes, unweighted CCA","Other: Yes, to determine the potential influences of data imputation on results",NA ,NA,MICE,Stata,25,Yes,Yes,No,No,"No - ""We obtained similar results when repeating the above-mentioned Cox regression analyses in participants with complete data""","- Time to event analysis
- Individuals were excluded if they didn't complete a diet history questionnaire (used to obtain the exposure measure)
- Assume auxiliary variables included (e.g. causes of mortality used for imputation but not for analysis of all-cause mortality) as it is stated that ""all variables involved in data analysis were applied to yield imputed data sets""."
320,Walsemann 2020,Early Educational Experiences and Trajectories of Cognitive Functioning Among US Adults in Midlife and Later,Rheanna Mainzer,Walsemann,Jan-20,American Journal of Epidemiology,Study estimated an effect of an exposure on an outcome that was given (at least implicitly) a causal interpretation,Study identified a set of variables that were used to control for confounding; Study estimated an effect of an exposure on an outcome using a regression model that was adjusted for a set of covariates,"While some speculate that after 8 years of education, maximum cognitive reserve is reached and little benefit is gained from additional education, our results suggest that educational experiences that span childhood and adolescence are related to cognitive functioning decades later.",Prospective longitudinal study,"No, eligibility criteria required one or more variables to be complete",NA,"Yes, both non-response and missing data in an analysis variable",9565,Yes,64%,Having a learning problem (yes/no),Yes,15%,"Total cognitive function (composite) score, ranging from 0 to 35",No,NA,"Yes, in 2 or more covariates",No,No,NA,"No, the possibility that data were MNAR was not addressed",MI using the full analysis sample,No,NA,No,NA,NA ,NA,MICE,Stata,20,Yes,Yes,No,NA,NA,"- Sample restricted to age-eligible survey respondents who provided data on cognitive functioning (outcome) at least once between 1998 and 2014 and attended at least primary school.""
- Table 2 fallacy + all exposures included in the same model
- ""Because we used the imputed cognition variables provided by HRS, there were no missing data on the dependent variable"""
319,Wagner 2020,"Long-Term Trajectories of Body Weight, Diet, and Physical Activity From Midlife Through Late Life and Subsequent Cognitive Decline in Women",Rheanna Mainzer,Wagner,Nov-19,American Journal of Epidemiology,Study estimated an effect of an exposure on an outcome that was given (at least implicitly) a causal interpretation,Study estimated an effect of an exposure on an outcome using a regression model that was adjusted for a set of covariates,Maintaining a healthy lifestyle since midlife may help to reduce cognitive decline in aging.,Case-control study,Yes,21103,"Yes, both non-response and missing data in an analysis variable",8974,Yes,81%,Alternate Mediterranean diet (A-MedDi) composite score,Yes,19%,"Cognitive decline (worst 10% of slopes vs those with slopes better than the median, where slopes are calculated using linear mixed models with 4 repeated measures)",No,NA,No,No,No,NA,"No, the possibility that data were MNAR was not addressed",Other: Median imputation for items that make up the exposure composite score,No,NA,"Yes, MI using the full analysis sample","Other: Yes, to examine the robustness of findings to statistical assumptions",NA ,NA,MICE,R,5,Unclear,Unclear,Unclear,No,"No - ""the results were not meaningfully modified when [...] using multiple imputation (results available upon request).""","- A descriptive analysis may have been more appropriate. Exposure is time-varying. 
- Explicitly address reverse causality by limiting the time period for exposure trajectory.
- Participants excluded if they have no follow-up measure of cognition (n = 1831) or if they did not have at least 1 measurement of each lifestyle factor during follow-up (n = 443).
- Exposure was a composite score. Assume ""missing"" if any item is missing.
- Exposure (BMI trajectory) appears to have been used as the model outcome, while the outcome (case-control status) was included in the model.
- 14956 women included in study sample, but cases/control definition (based on percentiles) reduced this to 8974."
312,vanLee 2019,Prospective associations of maternal choline status with offspring body composition in the first 5 years of life in two large mother–offspring cohorts: the Southampton Women’s Survey cohort and the Growing Up in Singapore Towards healthy Outcomes cohort,Rheanna Mainzer,van Lee,Jan-19,International Journal of Epidemiology,Study estimated an effect of an exposure on an outcome that was given (at least implicitly) a causal interpretation,Study identified a set of variables that were used to control for confounding; Study estimated an effect of an exposure on an outcome using a regression model that was adjusted for a set of covariates,"Overall, maternal choline status seems to have only a marginal independent role in growth and weight gain in the first years of life, probably overruled by the many other factors influencing growth and weight gain, such as complementary foods, breastfeeding and overall health status. ... The precise mechanisms by which choline may affect neonatal adiposity remain unclear. However, some plausible mechanisms have been reported. [...] These studies may indicate that higher choline status could play a role in the development of adiposity; however, more research is necessary to establish this hypothesis.",Prospective longitudinal study,Yes,3141,"Yes, missing data in an analysis variable",955,Able to establish an upper bound only,82%,Maternal choline status ,No,NA,Body mass index (BMI) at birth,No,NA,"Yes, in 2 or more covariates",No,No,"No, but authors compare maternal and offspring baseline characteristics between those with complete follow-up and those lost to follow-up and comment in the limitations section that mothers who had complete follow-up at 4 years (n = 442) tended to have more children, were less educated, were less likely to be in employment and were more physically active than mothers without complete follow-up (n = 513). [...] ""This may have resulted in selection bias, which could have confounded the results.""","No, the possibility that data were MNAR was not addressed",MI using the full analysis sample,No,NA,No,NA,NA ,NA,MICE,Stata,20,Yes,Yes,No,NA,NA,"- 2 prospective cohort studies were analysed and reported on separately. This review considers the analysis of the Southampton Women's Survey (SWS) cohort.
- Exclusion criteria included no early pregnancy visit (n = 330) and missing information on choline (exposure) and betaine concentration (n = 1826). Analysis sample reduced to those with complete outcome. MI used to impute missing values of covariates.
- n = 176 missing folate and folate was adjusted for in the analysis. It is not clear whether there is overlap between those missing folate and those missing BMI at birth. Assume no overlap to obtain an upper bound on the % of complete cases."
310,vanGennip 2022,Retinal Microvascular Caliber and Incident Depressive Symptoms: The Multi-Ethnic Study of Atherosclerosis,Rheanna Mainzer,van Gennip,Oct-21,American Journal of Epidemiology,Study estimated an effect of an exposure on an outcome that was given (at least implicitly) a causal interpretation,Study identified a set of variables that were used to control for confounding; Study estimated an effect of an exposure on an outcome using a regression model that was adjusted for a set of covariates,These findings suggest that cerebral microvascular dysfunction might be a target for prevention and treatment of depression.,Prospective longitudinal study,Yes,5183,"Yes, missing data in an analysis variable",4366,Yes,92%,"Retinal microvascular caliber (Central retinal arteriolar equivalent, CRAE) micrometer",No,NA,Depressive symptoms,No,NA,"Yes, in 2 or more covariates","Yes, authors invoked (either explicitly or implicitly) the missing at  random assumption",No,"MAR not justified, but authors presented baseline characteristics stratified by inclusion/exclusion in analysis: ""The 1860 participants excluded from this analysis were more likely to be older, to be less education, and to have a worse cardiovascular risk profile.""","Other: Not explicitly. Study limitation: ""participants excluded from the present analysis were older and had a lower educational level and a worse cardiovascular risk profile than those included. This may have led to underestimation of the reported findings due to lower variation in microvascular dysfunction and depressive symptoms.""",MI using the full analysis sample,Yes,MI was used under the assumption that data were MAR,"Yes, unweighted CCA","Other: Yes, as an additional analysis to test the robustness of findings",NA ,NA,MICE,Other: Statistical analyses were performed with SPSS or Stata (unclear which),20,Unclear,Unclear,Unclear,No,"NA - ""Results of the complete-case analysis were consistent with those obtained in the main analysis""",#NAME?
307,vanderSchaft 2019,"Dietary antioxidant capacity and risk of type 2 diabetes mellitus, prediabetes and insulin resistance: the Rotterdam Study",Rheanna Mainzer,van der Schaft,Aug-19,European Journal of Epidemiology,Study estimated an effect of an exposure on an outcome that was given (at least implicitly) a causal interpretation,Study identified a set of variables that were used to control for confounding; Study estimated an effect of an exposure on an outcome using a regression model that was adjusted for a set of covariates,The findings of this population-based study emphasize the putative beneficial effects of a diet rich in antioxidants on insulin resistance and risk of type 2 diabetes,Prospective longitudinal study,"No, eligibility criteria required one or more variables to be complete",NA,"Yes, missing data in an analysis variable",5796,Able to establish an upper bound only,96%,Total dietary antioxidant capacity,No,NA,Type 2 diabetes,No,NA,"Yes, in 2 or more covariates",No,No,NA,"No, the possibility that data were MNAR was not addressed",MI using the full analysis sample,No,NA,No,NA,NA ,NA,MICE,R,5,Unclear,Unclear,Unclear,NA,NA,#NAME?
306,Vable 2020,Does the Type and Timing of Educational Attainment Influence Physical Health? A Novel Application of Sequence Analysis,Rheanna Mainzer,Vable,Jul-20,American Journal of Epidemiology,Study estimated an effect of an exposure on an outcome that was given (at least implicitly) a causal interpretation,Study identified a set of variables that were used to control for confounding; Study estimated an effect of an exposure on an outcome using a regression model that was adjusted for a set of covariates,"Residual confounding is a concern in this observational analysis; although our substantive research questions are clearly causal, strong, untestable assumptions are needed for causal inference.",Prospective longitudinal study,Yes,12686,"Yes, non-response",7912,Able to establish an upper bound only,89%,"Educational trajectory from age 14 to 48 years (less than a HS education, HS education, GED credential, some college after a GED credential, some college (all other trajectories), AA after less than a HS education, AA (all other trajectories), BA immediate, BA interrupted, graduate school)",No,NA,Physical health summary score,Yes,3%,"Yes, in 2 or more covariates",No,No,NA,"No, the possibility that data were MNAR was not addressed","Other: CCA, including missingness indicators for several covariates as additional covariates",No,NA,"Yes, MI using the full analysis sample",No,NA ,NA,Unclear,Stata,Not reported,Unclear,Unclear,Unclear,No,"No - ""point estimates were in the same direction and our main findings were unchanged [...] after multiple imputations""","- Missingness indicators included as ""confounders"", e.g., indicator for unknown missing values of mother's and father's education (n = 436). Missing data not summaries for each variable."
304,Tsarna 2019,Associations of Maternal Cell-Phone Use During Pregnancy With Pregnancy Duration and Fetal Growth in 4 Birth Cohorts,Rheanna Mainzer,Tsarna,Apr-19,American Journal of Epidemiology,Study estimated an effect of an exposure on an outcome that was given (at least implicitly) a causal interpretation,Study identified a set of variables that were used to control for confounding; Study estimated an effect of an exposure on an outcome using a regression model that was adjusted for a set of covariates,"Maternal cell-phone use during pregnancy may be associated with shorter pregnancy duration and increased risk of preterm birth, but these results should be interpreted with caution, since they may reflect stress during pregnancy or other residual confounding rather than a direct effect of cell-phone exposure.",Individual patient data (IPD) meta-analysis / pooled cohort analysis,"No, eligibility criteria required one or more variables to be complete",~113319,"Yes, both non-response and missing data in an analysis variable",55507,Able to establish an upper bound only,66%,"Maternal cell-phone use (none, low, intermediate, high)",No,NA,Gestational age at birth,No,NA,"Yes, in 2 or more covariates",No,No,NA,"No, the possibility that data were MNAR was not addressed",MI using the full analysis sample,No,NA,"Yes, unweighted CCA","Other: Yes, to assess the influence of multiple imputation",NA ,NA,MICE,R,20,No,Yes,No,No,"No - ""all estimates lost statistical significance; however, the confidence intervals overlapped with the ones from the primary analysis, and the direction of the associations did not change for the outcomes related to pregnancy duration""","- 4 birth cohorts
- n = 113319 enrolled across 4 cohorts, but study had additional exclusion criteria and not all excluded numbers are provided
- Exposure and outcome required to be complete, MI used for missing values in covariates
- MI used to calculate descriptive statistics for covariates.
- Authors do not state whether the exposure was included in the MI model (""all covariates - apart from geographical region - and all study outcomes were used as predictors"")"
302,Torres 2020,US Migration Status of Adult Children and Cognitive Decline Among Older Parents Who Remain in Mexico,Rheanna Mainzer,Torres,Jan-20,American Journal of Epidemiology,Study estimated an effect of an exposure on an outcome that was given (at least implicitly) a causal interpretation,Study used a directed acyclic graph (DAG) or mDAG to illustrate causal assumptions made in the analysis; Study identified a set of variables that were used to control for confounding; Study estimated an effect of an exposure on an outcome using a regression model that was adjusted for a set of covariates,"Despite the growing burden of dementia in LMICs, context-specific population drivers of cognitive aging are poorly understood. For older adults in LMICs, family member out-migration may be a unique societal determinant of cognitive outcomes.",Prospective longitudinal study,Other: Approximate inception sample size available (see details),~6374,"Yes, both non-response and missing data in an analysis variable",3416,No,NA,Adult child US migration status (adult child in the US in both 2001 and 2003 waves vs no adult children in the US in either study wave),Unclear,NA,9-year change in cognitive performance (immediate verbal recall) z-score,Unclear,NA,Unable to establish,No,No,NA,"Other: No, although authors state divergence between estimates from primary analysis (TMLE) and mixed-model approach may have been the result of bias due to sample attrition.","Other: Unclear, assume MI was incorporated into the TMLE somehow",No,NA,No,NA,NA ,NA,Unclear,R,10,Unclear,Unclear,Unclear,NA,NA,"- Analyses stratified by sex. This review examines the research question in women.
- Inception sample is approximate as n = 32 were missing indicator of living children, but not clear whether these are male or female (so inception sample could range between 6374 and 6406).
- TMLE used for estimation
- MI used for descriptive characteristics
- It is not clear how MI was used in this study. 
- The sensitivity analysis fits mixed effects models using the multiply imputed data. But it is not clear whether the estimand is the same or if MI is used for the primary analysis.
- Amelia used for MI."
301,Torres 2019,"Having an Adult Child in the United States, Physical Functioning, and Unmet Needs for Care Among Older Mexican Adults",Rheanna Mainzer,Torres,Jul-19,Epidemiology,Study estimated an effect of an exposure on an outcome that was given (at least implicitly) a causal interpretation,Study used a directed acyclic graph (DAG) or mDAG to illustrate causal assumptions made in the analysis; Study identified a set of variables that were used to control for confounding; Study estimated an effect of an exposure on an outcome using a regression model that was adjusted for a set of covariates,"""We found select modest associations between having an adult child in the US and physical functioning for women [...]""  + description of explanation for ""protective findings"" of other studies. (""Protective findings have been explained by economic transfers commonly made from migrant children to parents who remain in place, which may allow older adults to access treatment for underlying medical conditions and to reduce physically demanding work [...] possibly contributing to improvements in perceived and/or actual physical functioning."")",Prospective longitudinal study,"Other: No, flow chart for analytical sample selection not provided separately by sex",NA,"Yes, missing data in an analysis variable",6374,No,NA,"Adult child migration status (at least one adult child living in the US, wave 1)",Unclear,NA,"Number of lower-body functional limitations (0 - 7, wave 1)",Unclear,NA,Unable to establish,No,No,NA,"No, the possibility that data were MNAR was not addressed",MI using the full analysis sample,No,"NA - ""we implemented multiple imputation procedures to address missing data using the Amelia package for R.""",No,NA,NA ,NA,Unclear,R,10,Unclear,Unclear,Unclear,NA,NA,#NAME?
